,TP,FN,FP,TN,Accuracy,Precision,Recall,F1-score,Mean ling. dist.,num. distractors
No dropout,5369,4339,1777,7910,0.685,0.751,0.553,0.637,3.007,9687
Dropout 1,5369,4339,1770,7903,0.685,0.752,0.553,0.637,3.066,9673
Dropout 2,5369,4339,1748,7932,0.686,0.754,0.553,0.638,3.064,9680
Dropout 3,5369,4339,1753,7923,0.686,0.754,0.553,0.638,3.064,9676
Dropout 4,5367,4339,1737,7935,0.686,0.755,0.553,0.638,3.068,9672
Dropout 5,5369,4339,1761,7922,0.685,0.753,0.553,0.638,3.071,9683
Dropout 6,5369,4339,1725,7953,0.687,0.757,0.553,0.639,3.062,9678
Dropout 7,5369,4339,1735,7940,0.687,0.756,0.553,0.639,3.069,9675
Dropout 8,5369,4339,1734,7938,0.687,0.756,0.553,0.639,3.06,9672
Dropout 9,5369,4339,1739,7941,0.687,0.755,0.553,0.638,3.069,9680
Dropout 10,5367,4339,1756,7918,0.686,0.753,0.553,0.638,3.066,9674
