Mode,TP (val),FN (val),FP (val),TN (val),acc (val),prec (val),rec (val),f1 (val),TP (test),FN (test),FP (test),TN (test),acc (test),prec (test),rec (test),f1 (test),TP (val random),FN (val random),FP (val random),TN (val random),acc (val random),prec (val random),rec (val random),f1 (val random)
_combined,5997,4603,1940,8651,0.691,0.756,0.566,0.647,5379,4329,1710,7977,0.689,0.759,0.554,0.64,5997,4603,1015,9576,0.735,0.855,0.566,0.681
_combined,5880,4720,1824,8767,0.691,0.763,0.555,0.643,5205,4503,1681,8006,0.681,0.756,0.536,0.627,5880,4720,909,9682,0.734,0.866,0.555,0.676
_combined,5874,4726,1911,8680,0.687,0.755,0.554,0.639,5283,4425,1672,8015,0.686,0.76,0.544,0.634,5874,4726,945,9646,0.732,0.861,0.554,0.674
_combined,5940,4660,1886,8705,0.691,0.759,0.56,0.644,5241,4467,1714,7973,0.681,0.754,0.54,0.629,5940,4660,934,9657,0.736,0.864,0.56,0.68
_combined,5971,4629,1951,8640,0.689,0.754,0.563,0.645,5214,4494,1685,8002,0.681,0.756,0.537,0.628,5971,4629,987,9604,0.735,0.858,0.563,0.68
_only_ling,5894,4706,1990,8601,0.684,0.748,0.556,0.638,5327,4381,1781,7906,0.682,0.749,0.549,0.634,5894,4706,1029,9562,0.729,0.851,0.556,0.673
_only_ling,5847,4753,1962,8629,0.683,0.749,0.552,0.636,5296,4412,1777,7910,0.681,0.749,0.546,0.632,5847,4753,1044,9547,0.726,0.848,0.552,0.669
_only_ling,5842,4758,1902,8689,0.686,0.754,0.551,0.637,5225,4483,1722,7965,0.68,0.752,0.538,0.627,5842,4758,978,9613,0.729,0.857,0.551,0.671
_only_ling,5859,4741,1900,8691,0.687,0.755,0.553,0.638,5187,4521,1701,7986,0.679,0.753,0.534,0.625,5859,4741,974,9617,0.73,0.857,0.553,0.672
_only_ling,5905,4695,1999,8592,0.684,0.747,0.557,0.638,5249,4459,1812,7875,0.677,0.743,0.541,0.626,5905,4695,1042,9549,0.729,0.85,0.557,0.673
_only_lmrks,5846,4754,1866,8725,0.688,0.758,0.552,0.639,5269,4439,1745,7942,0.681,0.751,0.543,0.63,5846,4754,968,9623,0.73,0.858,0.552,0.672
_only_lmrks,5824,4776,1910,8681,0.684,0.753,0.549,0.635,5209,4499,1716,7971,0.68,0.752,0.537,0.627,5824,4776,977,9614,0.729,0.856,0.549,0.669
_only_lmrks,5936,4664,1981,8610,0.686,0.75,0.56,0.641,5260,4448,1748,7939,0.681,0.751,0.542,0.63,5936,4664,1001,9590,0.733,0.856,0.56,0.677
_only_lmrks,6001,4599,2046,8545,0.686,0.746,0.566,0.644,5280,4428,1751,7936,0.681,0.751,0.544,0.631,6001,4599,1027,9564,0.735,0.854,0.566,0.681
_only_lmrks,5845,4755,1979,8612,0.682,0.747,0.551,0.634,5237,4471,1750,7937,0.679,0.75,0.539,0.627,5845,4755,968,9623,0.73,0.858,0.551,0.671
